,city,state,zipcode,address,year_built_homefinder,bed_homefinder,bath_homefinder,ptype_homefinder,price_homefinder,sqft_homefinder,desc_homefinder,nbhd_homefinder,year_built_realtor,bed_realtor,bath_realtor,ptype_realtor,price_realtor,sqft_realtor,tags_realtor,year_built_homes,bed_homes,bath_homes,ptype_homes,price_homes,sqft_homes,description_homes
10,KENT,OH,44240,2037 OLD FORGE RD,1920.0,5.0,4.0,Single Family Home,510000.0,0.0,"This spacious, private country home includes 5 bdrms and 3.5 baths set on 18.5 acres featuring a natural pond, a walking path around the circumference of the property, a driving range, an in-ground pool, & a covered whirlpool hot tub. Extensive decks with an indoor/outdoor entertainment system & finished basement make this home perfect for entertaining. A huge master bedroom features a cathedral ceiling & an en-suite bath, an oversized walk-in closet, & 4 additional closets. The first floor bonus suite has its own full bathroom, private entrance, perfect for first floor living or guests. The kitchen is newly updated and features a sunny breakfast area in addition to the formal dining room. Additional features include an office with built-in shelving, fitness room with Nature Stone flooring, & first floor laundry. The enclosed front porch provides additional space for relaxing & bird watching. A home generator provides reassurance in the event of power outages. Taxes are for both parcels per tax records
This property includes its own oil/natural gas well - FREE natural gas to heat the house and pool, plus royalty income! Farm acreage provides another income opportunity. Two 45 x 90' pole barns plus a shed with adjacent fenced-in pets/animals complete the property. This home is move-in ready with fresh paint and carpet throughout. The home is close to Kent State University, NEOMED, and an easy commute to all of Northeast Ohio's major urban centers. Taxes are for both parcels.",,,,,,,,,,,,,,,
11,KENT,OH,44240,1257 MELOY RD,0.0,0.0,0.0,Raw Land,59000.0,0.0,Approx 8 acres on Meloy Rd zoned R-1 Low Density Residential. Approx 756 ft frontage on Meloy Rd.,,,,0.0,land,59000.0,,['big_lot'],,,,lots land,59000.0,,Approx 8 acres on Meloy Rd zoned R-1 Low Density Residential. Approx 756 ft frontage on Meloy Rd.
12,KENT,OH,44240,V/L WEST CAMPUS CENTER DR,0.0,0.0,0.0,Raw Land,125000.0,0.0,"Approx 16.2 acres on the east side of W. Campus Center Dr.  Zoned University - with possibility of rezoning. Approx 1142 ft frontage on Campus Center Drive. Subject to new survey, legal description and lot split.",,,,,,,,,,0.0,0.0,lots land,125000.0,,"Approx 16.2 acres on the east side of W. Campus Center Dr. Zoned University - with possibility of rezoning. Approx 1142 ft frontage on Campus Center Drive. Subject to new survey, legal description and lot split."
13,KENT,OH,44240,V/L CLINE RD,0.0,0.0,0.0,Raw Land,300000.0,0.0,Approx 8.5 acres made up of 3 parcels on Summit St and Cline Rd across from Dix Stadium.  Zoned R-1 Low Density Residential.,,,,0.0,land,300000.0,,['big_lot'],,0.0,0.0,lots land,300000.0,,Approx 8.5 acres made up of 3 parcels on Summit St and Cline Rd across from Dix Stadium. Zoned R-1 Low Density Residential.
14,KENT,OH,44240,V/L POWDERMILL RD,0.0,0.0,0.0,Raw Land,312500.0,0.0,"Approx 25 acres south of railroad tracks on Powdermill Rd.  Zoned R-1 Low Density Residential.  Approx 1076 ft frontage on Powdermill Rd.  Subject to lot split.  Sewer & Water at street. Gas/Electric/Cable (Buyers responsibility to verify accessibility, capacity, etc.. on all utilities)
Call agent for additional info",,,,,,,,,,0.0,0.0,lots land,312500.0,,"Approx 25 acres south of railroad tracks on Powdermill Rd. Zoned R-1 Low Density Residential. Approx 1076 ft frontage on Powdermill Rd. Subject to lot split. Sewer & Water at street. Gas/Electric/Cable (Buyers responsibility to verify accessibility, capacity, etc.. on all utilities) Call agent for additional info"
15,KENT,OH,44240,W MAIN ST,1970.0,0.0,0.0,Single Family Home,161500.0,0.0,"This property is Real Estate Owned, or REO. The property was foreclosed and repossessed by a lender when the owner failed to make payments. A bank is now the owner. Since banks are not in business to own homes, they are usually interested in selling foreclosed homes quickly at attractive low prices. A list price is published but reasonable offers can be submitted for consideration. Offers can be submitted through the official Listing Agent but in some cases, no agent is listed and offers can be submitted the bank owner directly.",Downtown Kent,,,,,,,,,,,,,,
16,KENT,OH,44240,RAVENNA,1950.0,3.0,1.0,Single Family Home,150000.0,846.0,"This property is Real Estate Owned, or REO. The property was foreclosed and repossessed by a lender when the owner failed to make payments. A bank is now the owner. Since banks are not in business to own homes, they are usually interested in selling foreclosed homes quickly at attractive low prices. A list price is published but reasonable offers can be submitted for consideration. Offers can be submitted through the official Listing Agent but in some cases, no agent is listed and offers can be submitted the bank owner directly.",,,,,,,,,,,,,,,
17,KENT,OH,44240,GARTH,1969.0,3.0,1.0,Single Family Home,56300.0,1690.0,"This property is Real Estate Owned, or REO. The property was foreclosed and repossessed by a lender when the owner failed to make payments. A bank is now the owner. Since banks are not in business to own homes, they are usually interested in selling foreclosed homes quickly at attractive low prices. A list price is published but reasonable offers can be submitted for consideration. Offers can be submitted through the official Listing Agent but in some cases, no agent is listed and offers can be submitted the bank owner directly.",Middlebury,,,,,,,,,,,,,,
18,KENT,OH,44240,S WATER ST,1970.0,0.0,0.0,Single Family Home,50000.0,0.0,"This property is Real Estate Owned, or REO. The property was foreclosed and repossessed by a lender when the owner failed to make payments. A bank is now the owner. Since banks are not in business to own homes, they are usually interested in selling foreclosed homes quickly at attractive low prices. A list price is published but reasonable offers can be submitted for consideration. Offers can be submitted through the official Listing Agent but in some cases, no agent is listed and offers can be submitted the bank owner directly.",Downtown Kent,,,,,,,,,,,,,,
19,KENT,OH,44240,2006 CARLTON DR.,1970.0,3.0,2.0,Single Family Home,239900.0,1780.0,"Spacious split in a great location and large backyard has been impressively updated. New electric, furnace, A/C, flooring, bath and kitchen, siding, gutters, roof and more. What hasn't been done! Call Brian 330-715-2047",Brady Lake,,,,,,,,,,,,,,
20,KENT,OH,44240,2006 CARLTON DR.,1970.0,3.0,2.0,Single Family Home,239900.0,1780.0,"Spacious split in a great location and large backyard has been impressively updated. New electric, furnace, A/C, flooring, bath and kitchen, siding, gutters, roof and more. What hasn't been done! Call Brian 330-715-2047",Brady Lake,,,,,,,,,,,,,,
21,KENT,OH,44240,7568 DIAGONAL RD,1958.0,4.0,3.0,Single Family Home,189900.0,2376.0,"THIS IS IT!  Nearly 2 ACRES in Twin Lakes just minutes to Downtown Kent, Ohio, KSU, shopping, and restaurants! This spacious split-level sits on 1.78 sprawling wooded acres and includes a second waterfront parcel (.03 acres) that provides full lake privileges (swimming, boating, fishing, and a private beach) - the BEST of both worlds! The home includes 4 Beds and 2.5 baths, a wood-burning fireplace, sunroom, and has plentiful windows to enjoy the secluded views. Upstairs is a huge master suite with a large sitting area and en-suite bath, a second full bathroom, and 2 additional bedrooms. The lower level boasts a large recreation room with built-in cabinets, a half bath, a 4th bedroom, laundry, and a 2-car garage. While the home is in need of TLC, recent updates include newer fridge, dishwasher and wall oven (~3-5 years), water pump (~4 years), HVAC and roof (2003), windows (~15 years), and newer drainage pipe for garage (2020). Vacation where you live - don't let this fabulous opportunity to own your private oasis by the lake pass you by!  Home is being sold AS-IS.",,1958.0,4.0,3.0,single_family,189900.0,2376.0,"['central_air', 'community_clubhouse', 'recreation_facilities', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'game_room', 'lake_view', 'community_outdoor_space', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'master_suite', 'big_lot', 'ensuite', 'fixer_upper']",,,,,,,
22,KENT,OH,44240,4087 CHAPMAN DR,2002.0,3.0,3.0,Single Family Home,244900.0,1627.0,"Welcome to 4087 Chapman Dr in lovely Brimfield! This stunning Colonial in the Chapman Farms Subdivision features 3 bedrooms, 2.5 baths with 1st floor laundry and a 2 car attached garage with opener, situated on a nicely sized level lot.  Entering the home you will notice the gleaming laminate wood flooring, a formal living room and dining room, plus an open concept eat-in kitchen and family room with access to both the patio and screened in porch.  A half bath and conveniently located laundry room complete the first level.  Make your way upstairs and you will find the generously sized master bedroom with vaulted ceilings, en suite bath, as well as two additional bedrooms and another full bath. Plantation Style blinds throughout the home.  The full basement is perfect for storage or could easily be finished for an additional living space.  This home has it all! Tons of updates include new roof 6/1/2020, New 90+ furnace & A/C 6/6/2020, composite deck 2019, gutter guards 2019, water heater 2019, sump pump 2019, gas logs 2017, granite/wood countertops with under mount sink 2018, lower patio 2019, stainless appliances 2018, Pergo Floors 2005, Security system, Carrier UV light.  Schedule your private showing today!",,2002.0,3.0,3.0,single_family,244900.0,1627.0,"['central_air', 'community_security_features', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'community_outdoor_space', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'vaulted_ceiling', 'master_bedroom', 'ensuite', 'farm']",2002.0,3.0,3.0,house,244900.0,1627.0,"Welcome to 4087 Chapman Dr in lovely Brimfield! This stunning Colonial in the Chapman Farms Subdivision features 3 bedrooms, 2.5 baths with 1st floor laundry and a 2 car attached garage with opener, situated on a nicely sized level lot. Entering the home you will notice the gleaming laminate wood flooring, a formal living room and dining room, plus an open concept eat-in kitchen and family room with access to both the patio and screened in porch. A half bath and conveniently located laundry room complete the first level. Make your way upstairs and you will find the generously sized master bedroom with vaulted ceilings, en suite bath, as well as two additional bedrooms and another full bath. Plantation Style blinds throughout the home. The full basement is perfect for storage or could easily be finished for an additional living space. This home has it all! Tons of updates include new roof 6/1/2020, New 90+ furnace & A/C 6/6/2020, composite deck 2019, gutter guards 2019, water heater 2019, sump pump 2019, gas logs 2017, granite/wood countertops with under mount sink 2018, lower patio 2019, stainless appliances 2018, Pergo Floors 2005, Security system, Carrier UV light. Schedule your private showing today!"
23,KENT,OH,44240,4925 BROWER TREE LN,0.0,0.0,0.0,Raw Land,49900.0,0.0,Level lot #7 in Sugar Maple Hills development in area of fine homes. Choose your own builder. Recreation is the playground & walking trail.,,,,0.0,land,49900.0,,,,,,lots land,49900.0,,Level lot #7 in Sugar Maple Hills development in area of fine homes. Choose your own builder. Recreation is the playground & walking trail.
24,KENT,OH,44240,371 ECKWOOD DR,1962.0,3.0,2.0,Single Family Home,114900.0,1008.0,"This 3 bedroom, 1.5 bath brick ranch sits on a dead-end street on a wooded half-acre lot. This is the perfect opportunity for anyone looking to invest in a fixer-upper! The handicap-accessible ramp leads you to the front entrance. Natural light pours into the living room from the large picture window. Many cabinets in the kitchen along with appliances that stay plus a half bath sits just off of the kitchen. Down the hall, you will find all three bedrooms and a full bathroom. Located just off of Mogadore Rd with easy access to highways and more. Schedule your showing today!",,1962.0,3.0,2.0,single_family,114900.0,1008.0,"['central_air', 'disability_features', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'handicap_access', 'farm', 'ranch', 'fixer_upper']",1962.0,3.0,2.0,house,114900.0,1008.0,"This 3 bedroom, 1.5 bath brick ranch sits on a dead-end street on a wooded half-acre lot. This is the perfect opportunity for anyone looking to invest in a fixer-upper! The handicap-accessible ramp leads you to the front entrance. Natural light pours into the living room from the large picture window. Many cabinets in the kitchen along with appliances that stay plus a half bath sits just off of the kitchen. Down the hall, you will find all three bedrooms and a full bathroom. Located just off of Mogadore Rd with easy access to highways and more. Schedule your showing today!"
25,KENT,OH,44240,1316 AARONS WAY,1978.0,3.0,2.0,Townhouse/Townhome,75000.0,1365.0,"Great place to start or would make excellent rental property.  Three bedrooms, 1 1/2 baths, full basement, fireplace, garage, deck and walk out basement. Close to expressway and be in Akron or Cleveland within minutes.",,1978.0,3.0,2.0,townhomes,75000.0,1365.0,"['central_air', 'fireplace', 'forced_air', 'community_outdoor_space', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'rental_property']",1978.0,3.0,2.0,condominium,75000.0,1365.0,"Great place to start or would make excellent rental property. Three bedrooms, 1 1/2 baths, full basement, fireplace, garage, deck and walk out basement. Close to expressway and be in Akron or Cleveland within minutes."
26,KENT,OH,44240,1408 LOOP RD,1984.0,3.0,3.0,Condominium Unit,121900.0,1508.0,"Don't rent when you can buy! Just minutes from Kent State University and the Kent State Rec Center. Open floor plan with sliding door to an over sized private patio. The kitchen is large, plenty of cabinets and overlooks dining area. Upstairs is a large master bedroom with dual closets and it's own full bathroom. Two other bedrooms and another full bath complete the second floor. Oh, I forgot to mention ---conveniently located second floor laundry too! Two car attached garage! Association swimming pool is close to condo, which is great in the summer! Freshly painted throughout with brand new carpet on the second floor. Nothing to do but move in and enjoy!!",,1984.0,3.0,3.0,condos,121900.0,1508.0,"['central_air', 'community_clubhouse', 'recreation_facilities', 'forced_air', 'community_outdoor_space', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan', 'rental_property']",,,,,,,
